Aforo,Este,Norte,Fecha,Qtotal (m3/s)
Puntilla,196473,8103514,13/05/2016,0.193
Campesino,194248,8103536,13/05/2016,0.48
Centro de visitantes,193407,8104162,13/05/2016,0.425
Motobomba,192546,8104722,13/05/2016,0.696
Camanejos,197321,8100714,13/05/2016,0.169
Dren ciego,194330,8103436,13/05/2016,0.003
Rossy,195723,8102026,13/05/2016,0.006
Puntilla,196473,8103514,15/04/2016,0.291
Campesino,194248,8103536,15/04/2016,
Centro de visitantes,193407,8104162,15/04/2016,0.608
Motobomba,192546,8104722,15/04/2016,0.883
Camanejos,197321,8100714,15/04/2016,0.544
Dren ciego,194330,8103436,15/04/2016,0.055
Rossy,195723,8102026,15/04/2016,0.125
Puntilla,196473,8103514,07/03/2016,0.167
Campesino,194248,8103536,07/03/2016,0.408
Centro de visitantes,193407,8104162,07/03/2016,0.565
Motobomba,192546,8104722,07/03/2016,0.439
Camanejos,197321,8100714,07/03/2016,0.299
Dren ciego,194330,8103436,07/03/2016,0.042
Rossy,195723,8102026,07/03/2016,0.087
Puntilla,196473,8103514,15/02/2016,0.166
Campesino,194248,8103536,15/02/2016,0.284
Centro de visitantes,193407,8104162,15/02/2016,0.26
Motobomba,192546,8104722,15/02/2016,
Camanejos,197321,8100714,15/02/2016,0.204
Dren ciego,194330,8103436,15/02/2016,0.1
Rossy,195723,8102026,15/02/2016,0.11
Puntilla,196473,8103514,15/01/2016,0.114
Campesino,194248,8103536,15/01/2016,0.426
Centro de visitantes,193407,8104162,15/01/2016,0.205
Motobomba,192546,8104722,15/01/2016,
Camanejos,197321,8100714,15/01/2016,0.07
Dren ciego,194330,8103436,15/01/2016,0.002
Rossy,195723,8102026,15/01/2016,0.039
Puntilla,196473,8103514,13/12/2015,0.191
Campesino,194248,8103536,13/12/2015,0.113
Centro de visitantes,193407,8104162,13/12/2015,0.46
Motobomba,192546,8104722,13/12/2015,0.356
Camanejos,197321,8100714,13/12/2015,0.008
Dren ciego,194330,8103436,13/12/2015,0.016
Rossy,195723,8102026,13/12/2015,0.002
Puntilla,196473,8103514,16/11/2015,0.176
Campesino,194248,8103536,16/11/2015,0.874
Centro de visitantes,193407,8104162,16/11/2015,0.559
Motobomba,192546,8104722,16/11/2015,0.489
Camanejos,197321,8100714,16/11/2015,0.088
Dren ciego,194330,8103436,16/11/2015,0.002
Rossy,195723,8102026,16/11/2015,0.004
Puntilla,196473,8103514,12/10/2015,0.194
Campesino,194248,8103536,12/10/2015,0.696
Centro de visitantes,193407,8104162,12/10/2015,0.592
Motobomba,192546,8104722,12/10/2015,0.499
Camanejos,197321,8100714,12/10/2015,0.107
Dren ciego,194330,8103436,12/10/2015,0.001
Rossy,195723,8102026,12/10/2015,0.002
Puntilla,196473,8103514,12/09/2015,0.209
Campesino,194248,8103536,12/09/2015,0.947
Centro de visitantes,193407,8104162,12/09/2015,0.539
Motobomba,192546,8104722,12/09/2015,0.732
Camanejos,197321,8100714,12/09/2015,0.076
Dren ciego,194330,8103436,12/09/2015,
Rossy,195723,8102026,12/09/2015,0.003
Puntilla,196473,8103514,11/08/2015,0.217
Campesino,194248,8103536,11/08/2015,2.007
Centro de visitantes,193407,8104162,11/08/2015,0.559
Motobomba,192546,8104722,11/08/2015,0.638
Camanejos,197321,8100714,11/08/2015,0.132
Dren ciego,194330,8103436,11/08/2015,0
Rossy,195723,8102026,11/08/2015,0.006
Puntilla,196473,8103514,13/07/2015,0.227
Campesino,194248,8103536,13/07/2015,0.888
Centro de visitantes,193407,8104162,13/07/2015,0.528
Motobomba,192546,8104722,13/07/2015,0.501
Camanejos,197321,8100714,13/07/2015,0.065
