Piezómetro,Fecha,Cota Terreno,Lectura mes ant,Lectura mes act,Cota del nivel de agua (msnm)
1,16/01/2016,2.67,1.11,1.23,1.56
2,16/01/2016,1.90,0.90,0.82,1.00
3,16/01/2016,1.82,1.01,0.66,0.81
4,16/01/2016,3.34,1.35,1.47,1.99
5,16/01/2016,3.11,0.67,0.56,2.44
6,16/01/2016,3.09,1.22,1.24,1.87
7,16/01/2016,2.14,1.22,1.01,0.92
8,16/01/2016,2.20,0.66,0.89,1.54
9,16/01/2016,3.84,2.17,1.57,1.67
10,16/01/2016,3.86,0.97,0.89,2.89
11,16/01/2016,3.27,1.26,1.06,2.01
12,16/01/2016,3.20,1.29,1.09,1.91
13,16/01/2016,3.13,1.21,1.31,1.92
14,16/01/2016,2.18,0.82,0.56,1.37
15,16/01/2016,2.39,0.70,0.68,1.69
16,16/01/2016,2.83,1.05,1.18,1.78
17,16/01/2016,2.93,0.97,1.01,1.96
18,16/01/2016,3.19,0.77,0.90,2.42
19,16/01/2016,4.20,1.63,1.50,2.57
20,16/01/2016,3.14,0.56,0.69,2.59
21,16/01/2016,3.00,1.22,0.86,1.78
22,16/01/2016,3.02,1.22,1.25,1.80
23,16/01/2016,2.82,1.19,1.30,1.62
24,16/01/2016,3.83,1.74,,2.09
25,16/01/2016,3.92,1.60,1.36,2.32
26,16/01/2016,4.06,1.26,0.78,2.80
27,16/01/2016,4.66,0.87,0.63,3.79
28,16/01/2016,4.58,0.49,0.87,4.09
29,16/01/2016,4.13,1.17,1.48,2.96
30,16/01/2016,3.45,0.87,1.33,2.58
31,16/01/2016,2.75,1.17,1.14,1.59
32,16/01/2016,2.49,1.19,1.06,1.30
33,16/01/2016,2.77,1.01,0.62,1.76
34,16/01/2016,2.62,1.03,0.75,1.58
1,16/02/2016,2.67,1.23,1.18,1.44
2,16/02/2016,1.90,0.82,0.76,1.08
3,16/02/2016,1.82,0.66,1.10,1.16
4,16/02/2016,3.34,1.47,0.60,1.87
5,16/02/2016,3.11,0.56,0.40,2.55
6,16/02/2016,3.09,1.24,1.20,1.85
7,16/02/2016,2.14,1.01,0.43,1.13
8,16/02/2016,2.20,0.89,0.44,1.31
9,16/02/2016,3.84,1.57,2.10,2.27
10,16/02/2016,3.86,0.89,0.68,2.97
11,16/02/2016,3.27,1.06,1.18,2.21
12,16/02/2016,3.20,1.09,0.87,2.11
13,16/02/2016,3.13,1.31,1.61,1.82
14,16/02/2016,2.18,0.56,0.67,1.62
15,16/02/2016,2.39,0.68,0.69,1.71
16,16/02/2016,2.83,1.18,1.03,1.65
17,16/02/2016,2.93,1.01,0.37,1.92
18,16/02/2016,3.19,0.90,0.12,2.29
19,16/02/2016,4.20,1.50,0.96,2.70
20,16/02/2016,3.14,0.69,0.35,2.45
21,16/02/2016,3.00,0.86,0.66,2.14
22,16/02/2016,3.02,1.25,1.12,1.77
23,16/02/2016,2.82,1.30,0.98,1.52
24,16/02/2016,3.83,,0.37,3.83
25,16/02/2016,3.92,1.36,0.85,2.56
26,16/02/2016,4.06,0.78,0.73,3.28
27,16/02/2016,4.66,0.63,0.40,4.03
28,16/02/2016,4.58,0.87,0.28,3.71
29,16/02/2016,4.13,1.48,0.97,2.65
30,16/02/2016,3.45,1.33,0.19,2.12
31,16/02/2016,2.75,1.14,1.06,1.61
32,16/02/2016,2.49,1.06,0.43,1.43
33,16/02/2016,2.77,0.62,0.64,2.15
34,16/02/2016,2.62,0.75,0.85,1.87
1,8/3/2016,2.67,1.18,1.09,1.58
2,8/3/2016,1.90,0.76,0.80,1.10
3,8/3/2016,1.82,1.10,0.61,1.21
4,8/3/2016,3.34,0.60,1.56,1.78
